,surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited
5974,Wallace,773,France,Male,45,8,96877,1,1,1,113950,0
5975,Ash,614,France,Male,44,6,0,2,0,1,104930,0
5976,Ku,537,France,Female,38,10,0,1,0,0,52337,1
5977,Uspensky,704,France,Female,40,6,95452,1,0,1,179964,0
5978,Shih,586,Spain,Male,41,3,63873,1,1,0,83753,0
5979,Kumm,677,France,Female,24,0,148298,2,0,0,182913,0
5980,Carey,558,Spain,Female,31,7,0,2,1,0,166720,0
5981,Farber,634,Germany,Female,37,7,143258,2,1,0,192721,0
5982,Calabrese,655,Germany,Male,37,9,121342,1,1,1,180241,0
5983,Findlay,619,Germany,Female,28,6,99152,2,1,0,48475,0
5984,Yu,662,France,Female,41,4,0,2,1,0,126551,0
5985,Edments,705,Spain,Male,33,7,68423,1,1,1,64872,0
5986,Brown,527,Spain,Female,35,8,0,1,1,0,98031,1
5987,Lindon,630,Germany,Female,25,7,79656,1,1,0,93524,0
5988,Chukwudi,850,France,Male,35,2,0,2,1,1,56991,0
5989,Caldwell,668,France,Female,53,10,110240,1,0,0,183980,1
5990,Li Fonti,573,France,Female,32,9,125321,2,1,1,130234,0
5991,Pitcher,680,France,Male,27,3,0,1,1,0,32454,0
5992,Capon,758,France,Female,32,2,84378,1,1,1,75396,0
5993,Kable,597,France,Male,45,7,0,2,0,0,167756,0
5994,Lo Duca,580,Germany,Male,35,10,136281,2,1,1,24799,0
5995,Kulikova,622,France,Male,59,5,119380,1,1,1,60429,0
5996,Navarrete,638,Germany,Male,62,4,108716,2,1,1,74241,0
5997,Huguley,640,France,Female,20,4,0,2,0,1,78310,0
5998,Han,644,Spain,Male,28,0,0,2,1,0,119419,0
6000,Massie,629,France,Female,37,10,99546,3,0,1,25136,1
6001,Singh,775,France,Female,30,5,0,1,1,0,193880,1
6002,No information avilable,701,France,Female,41,2,0,1,1,0,47856,0
6003,Doyle,708,Spain,Male,37,7,112615,1,1,1,4491,0
6004,Grant,521,Spain,Female,22,10,0,1,1,1,101311,0
6005,Law,636,France,Female,24,9,0,2,0,1,38830,0
6006,King,529,France,Female,31,5,0,2,1,0,26817,0
6007,Onwubiko,757,France,Male,28,3,97245,1,1,1,199727,0
6008,Romano,767,Spain,Female,24,5,0,2,1,1,67445,0
6009,Okwudilichukwu,525,Spain,Male,33,5,0,2,1,0,161002,0
6010,Milano,759,Spain,Male,38,1,0,2,1,0,20778,0
6012,Aitken,738,France,Female,26,3,0,2,1,0,67484,0
6013,Obiora,548,Spain,Male,37,4,0,1,1,0,121763,0
6014,Vasilyeva,535,Spain,Male,48,9,109472,1,1,0,157358,1
6015,Chiabuotu,615,Spain,Male,59,4,155766,1,1,1,110275,0
6016,Slater,850,Germany,Male,38,7,101985,2,0,0,43801,0
6017,Hughes,487,France,Female,34,2,96019,1,0,0,9085,0
6018,Menkens,731,France,Male,30,7,0,2,0,1,143086,0
6019,Pisani,726,Spain,Female,35,9,0,2,0,1,100556,0
6020,No information avilable,609,France,Female,35,2,147900,1,1,0,140000,0
6021,Milani,714,France,Male,52,4,100755,1,1,1,186775,0
6022,Chin,694,Spain,Female,35,7,0,1,1,0,133570,1
6023,Fu,786,France,Female,33,0,83036,1,0,1,154990,1
6024,Howells,698,Spain,Male,27,6,125427,2,0,0,27654,0
6025,Ni,601,France,Female,46,3,98202,1,0,0,137763,0
6026,Maslova,769,Spain,Male,41,1,72509,1,1,0,25723,0
6027,Forster,850,Germany,Male,44,3,140393,2,0,1,186285,0
6028,Sun,646,Spain,Female,50,5,97245,2,1,1,142208,1
6029,Bocharova,659,France,Female,44,9,23503,1,0,1,169862,1
6030,No information avilable,487,Spain,Male,33,8,145729,1,1,0,41365,0
6031,Singh,740,Germany,Female,40,2,122295,2,1,1,30812,0
6032,Nkemakonam,686,France,Male,39,4,0,2,1,0,155023,0
6033,Chiemenam,612,Spain,Female,36,5,119799,2,1,0,159416,0
6034,Angelo,655,Spain,Male,37,8,163708,2,0,0,76259,0
6035,Frolov,617,France,Male,34,1,61687,2,1,0,105965,0
6036,West,674,France,Female,27,4,79144,1,0,1,50743,0
6037,Beatham,711,Spain,Male,32,5,0,2,1,1,147720,0
6038,Pollard,624,Germany,Female,27,7,104848,1,1,1,167387,0
6039,Hsing,597,Spain,Male,26,5,0,2,0,1,95159,0
6040,Dowse,682,Spain,Male,46,4,0,1,1,1,4654,0
6041,Lucciano,775,France,Male,45,8,97245,1,1,0,130376,0
6042,Godfrey,727,France,Female,29,1,146652,1,1,1,173486,0
6043,Gratton,629,France,Male,31,6,0,2,1,0,93881,0
6044,Manning,684,France,Male,46,0,0,2,1,1,36376,0
6045,Mazzi,549,Germany,Female,37,1,130622,2,1,1,128499,0
6046,Wall,593,Germany,Male,69,2,187013,2,0,1,105898,0
6047,Sims,536,Spain,Male,40,9,0,2,1,1,11959,0
6048,Allan,707,France,Female,36,6,0,1,0,0,98810,0
6049,Griffen,592,Spain,Male,41,0,0,2,1,0,65906,0
6050,Russell,703,France,Male,44,6,98862,1,1,0,151516,0
6051,Brown,723,Spain,Female,45,4,0,2,1,0,37214,0
6052,Palerma,452,Germany,Male,52,1,98443,2,0,0,92033,0
6053,Gilbert,552,Spain,Male,42,4,0,2,0,0,195692,0
6054,Uvarov,633,France,Female,47,0,0,1,1,1,6342,1
6055,Wisdom,479,Germany,Male,23,9,123575,1,0,1,95148,0
6056,Hussain,768,France,Male,25,6,0,2,1,1,21215,0
6057,Woods,742,France,Male,31,4,105239,1,1,1,19700,0
6058,Cameron,668,Germany,Male,56,9,110993,1,1,0,134396,1
6059,Mai,707,Spain,Male,44,3,0,2,1,1,135077,0
6060,Gibson,754,Spain,Male,39,7,157691,2,1,0,133600,1
6061,Grigoryeva,544,Germany,Male,47,5,105245,1,0,0,99922,1
6062,Gunter,718,Spain,Male,32,8,0,2,1,1,41399,0
6063,Arcuri,762,France,Male,31,7,117687,1,1,1,159344,0
6064,Tung,772,France,Male,23,2,0,2,1,0,18364,0
6065,Smith,691,Germany,Female,37,7,123067,1,1,1,98162,1
6066,Lori,502,France,Male,45,0,0,1,0,0,84663,0
6067,Chidimma,563,France,Female,34,6,0,2,0,0,36536,0
6068,Ting,676,France,Female,41,4,101457,1,1,1,79101,0
6069,Tsao,576,Spain,Male,52,2,100549,2,1,1,16644,0
6070,Collee,629,Spain,Male,35,4,174588,2,0,1,158420,0
6071,Lettiere,625,Spain,Male,52,8,121161,1,1,0,48988,0
6072,Fu,628,France,Male,45,9,0,2,1,1,96862,0
6074,Dyer,811,France,Female,45,5,0,2,1,1,146123,0
6075,Buccho,504,France,Male,42,3,134936,2,0,0,135178,0
6076,Jones,687,France,Female,24,3,110495,1,1,0,158615,0
6077,Nebechi,660,Germany,Female,37,2,133200,1,0,0,71433,0
6078,Ibekwe,548,France,Female,41,4,82596,1,0,1,55672,0
6079,Gorshkov,609,Germany,Male,31,9,103837,1,1,1,150218,0
6080,Nweke,659,Spain,Female,42,2,0,1,0,0,162734,1
6081,Hairston,526,France,Male,52,8,93590,1,0,1,21228,1
6082,Loggia,725,Germany,Male,40,8,104149,1,1,0,62027,0
6083,Morgan,519,Germany,Male,38,1,114141,1,1,1,60988,1
6084,Abdulov,562,Germany,Female,31,9,117153,1,1,1,108675,0
6085,Norris,482,Germany,Male,45,7,156353,1,1,0,72643,1
6086,Clark,535,Spain,Male,37,3,175534,2,1,1,9241,0
6087,Chukwudi,561,France,Female,27,9,135637,1,1,0,153080,1
6088,Perkin,661,France,Female,30,7,0,2,1,0,72196,0
6089,Ch'ang,771,France,Male,27,2,0,2,1,1,199527,0
6090,Kang,545,France,Male,26,7,0,2,0,1,156598,0
6091,Chukwudi,850,Germany,Female,33,2,83415,1,0,1,74917,0
6092,Frolova,601,Germany,Male,43,3,141859,2,1,1,111249,0
6093,Chiu,712,Germany,Male,38,7,132767,2,1,1,59115,0
6094,Simpson,589,France,Female,31,10,110635,1,1,0,148218,0
6095,McLean,600,Spain,Male,37,8,177657,1,1,1,77142,0
6096,Hu,642,Germany,Male,37,4,157777,1,1,0,67484,0
6097,Savage,575,Germany,Male,47,9,107915,2,1,1,63452,1
6098,Wallace,570,Germany,Female,57,5,86568,1,0,1,103660,0
6099,Winter,532,Germany,Male,52,9,137755,1,1,0,163191,1
6100,Ho,796,France,Male,30,2,137262,2,1,0,62905,0
6101,Su,833,Spain,Male,32,6,0,1,1,1,44323,1
6102,Li Fonti,642,Spain,Female,36,6,0,2,1,1,97938,0
6103,Ives,655,France,Male,28,10,0,2,0,1,126565,0
6104,Trevisani,736,Germany,Male,50,9,116309,1,1,0,185360,1
6105,Bond,617,France,Female,34,0,97245,2,1,0,183229,0
6106,Lettiere,762,Germany,Male,28,3,125155,2,1,1,106024,0
6107,Houghton,703,Germany,Male,35,5,140691,2,1,0,167810,0
6108,Lei,507,France,Male,41,3,58820,2,1,1,138536,0
6109,Stirling,581,Germany,Female,26,3,105099,1,1,1,184520,1
6110,Grant,593,France,Male,31,9,0,2,0,1,20492,0
6111,Baresi,648,France,Male,23,9,168372,1,1,0,134676,0
6112,Pearce,462,Germany,Male,34,1,94682,2,1,0,138478,0
6113,Rutledge,596,Spain,Male,36,2,0,2,0,1,125557,0
6114,Udegbunam,627,France,Female,44,5,0,2,1,0,82969,1
6115,Zaytseva,494,France,Male,40,7,0,2,0,1,158071,0
6116,Onyemauchechukwu,627,France,Male,73,0,146329,1,0,1,43615,0
6117,Mullah,850,Spain,Female,37,2,0,2,1,0,119969,0
6118,Candler,632,France,Female,49,5,167962,1,0,0,140201,0
6120,Lei,715,France,Male,40,7,0,1,1,1,141359,0
6121,Hollis,679,France,Male,48,8,0,2,1,0,23344,0
6122,Lionel,619,France,Male,44,3,116967,1,1,0,5075,1
6123,Francis,465,Spain,Female,33,6,0,2,1,1,95500,0
6124,Carter,736,Spain,Male,32,7,0,1,0,1,79082,0
6125,Mai,501,Germany,Female,34,7,93244,1,0,1,199805,0
6126,Johnson,535,France,Female,29,5,0,2,0,1,52709,0
6127,Sherman,759,France,Female,33,2,0,2,1,0,56583,0
6128,Sabbatini,819,France,Male,35,1,0,2,0,1,3385,0
6129,Shih,533,Germany,Male,43,4,80442,2,0,1,12537,0
6130,Yao,632,Germany,Female,35,2,150561,2,0,0,64722,0
6131,Ko,686,France,Female,60,9,97245,3,1,1,75246,1
6132,Kazakova,687,France,Female,34,9,125474,1,1,0,198929,0
6133,Chiganu,667,Germany,Female,33,4,127076,2,1,0,69011,0
6134,Nucci,699,Spain,Female,25,8,0,2,1,1,52404,0
6135,Marsden,497,Spain,Male,37,8,128650,2,1,1,163641,0
6136,Serena,780,Spain,Female,33,5,145580,1,1,1,154598,0
6137,McLean,652,France,Female,51,3,0,1,1,0,173989,1
6138,Longo,477,France,Male,47,9,144900,1,1,0,61315,1
6139,Wilson,652,France,Female,37,4,0,2,1,0,143393,0
6140,Hsiung,488,France,Female,31,8,97588,1,0,0,124210,0
6141,Wright,572,France,Male,24,1,0,2,1,1,151460,0
6142,Folliero,755,France,Female,38,1,0,2,1,0,20734,0
6143,Johnston,779,Germany,Female,24,10,122200,2,1,0,43705,0
6144,Palermo,693,Spain,Female,46,3,151709,1,1,0,180736,0
6145,Nwabugwu,530,Spain,Female,22,7,97245,2,1,0,104170,0
6146,Endrizzi,738,Spain,Female,33,3,122134,2,0,1,27867,0
6147,Tuan,690,Germany,Male,31,2,137260,2,1,0,55387,0
6148,Udobata,611,France,Female,30,9,88594,1,1,0,196332,0
6149,Ibezimako,643,Spain,Male,34,6,0,2,1,1,116046,0
6150,Maclean,632,Germany,Male,41,8,127205,4,1,0,93874,1
6151,Shaw,727,Spain,Female,31,10,96997,2,0,0,76614,0
6152,Cummins,508,France,Female,64,2,0,1,1,1,6076,0
6153,Lavrentiev,550,France,Male,31,5,142200,2,1,1,122221,0
6154,Saunders,754,Germany,Female,39,3,160761,1,1,1,24156,0
6155,Fiorentino,759,France,Male,26,4,0,2,1,0,135394,0
6157,Manfrin,549,France,Male,29,3,0,2,1,0,146090,0
6158,Zetticci,671,France,Male,31,0,116234,1,1,0,172096,0
6159,Angelo,756,Germany,Female,26,5,155143,1,0,1,135034,1
6160,Zhdanov,632,France,Female,21,1,0,2,1,0,84008,0
6161,Peck,579,France,Male,38,8,0,2,0,0,91763,0
6162,Uwaezuoke,748,France,Male,34,5,84009,1,1,1,137001,0
6163,White,488,Germany,Female,28,7,97245,2,1,0,106799,0
6165,Chu,619,Spain,Female,41,8,0,3,1,1,79866,1
6166,Kodilinyechukwu,773,France,Male,64,2,145578,1,0,1,186172,0
6167,Scott,657,Spain,Male,75,7,126273,1,0,1,91673,0
6168,Enyinnaya,579,France,Female,26,10,162482,1,1,1,18458,0
6169,Hao,542,France,Male,29,9,0,1,1,0,8342,0
6170,McElhone,709,France,Female,32,2,87814,1,1,0,138578,0
6171,Ko,617,Spain,Male,61,5,113858,1,1,1,38129,0
6172,Day,568,Germany,Male,43,5,87612,4,1,1,107155,1
6173,Harris,769,France,Female,73,1,0,1,1,1,29792,0
6174,Gerald,608,Germany,Male,26,1,106648,1,0,1,7063,0
6175,Nebeuwa,503,Spain,Male,31,4,0,2,1,1,21645,0
6176,Kaodilinakachukwu,608,Germany,Female,38,8,103653,1,1,1,137079,0
6177,Maruff,731,Germany,Male,37,3,116880,1,0,0,172718,1
6179,Knepper,591,Germany,Female,34,4,150635,1,1,1,72274,0
6180,Fennell,579,Spain,Male,37,4,0,2,1,1,32246,0
6181,T'ao,570,France,Male,39,10,129674,2,1,0,80552,0
6182,Morris,709,France,Female,37,9,0,2,1,0,16733,0
6183,Holmes,611,France,Male,53,3,83568,1,0,0,1235,0
6184,Yu,775,Spain,Male,48,4,178144,2,0,0,50168,1
6185,Walker,699,Germany,Male,36,6,147137,1,1,1,33687,0
6186,Edwards,618,France,Male,37,5,0,1,0,1,178705,1
6187,Harvey,704,France,Male,36,3,114370,1,0,1,66810,0
6188,McDonald,835,Germany,Female,47,5,108289,2,1,1,45859,1
6189,Chambers,714,Germany,Male,39,3,149887,2,1,0,63846,0
6190,Reed,581,Spain,Female,43,4,170172,1,0,1,100236,0
6191,Shih,592,France,Male,27,3,0,2,1,1,19645,0
6192,Onyemachukwu,551,France,Male,43,7,0,2,1,0,178393,0
6193,Teng,689,Germany,Female,28,2,64808,2,0,0,78591,0
6194,Hand,604,France,Female,56,0,62732,1,0,1,124954,0
6195,Onyemauchechukwu,514,France,Female,41,7,0,2,1,1,3756,0
6196,Bailey,698,France,Male,29,5,95167,1,1,1,152723,0
6197,Chiang,581,Germany,Female,54,2,152508,1,1,0,187597,1
6198,Maclean,573,Germany,Male,31,0,134644,1,1,1,70381,0
6199,Yobachi,449,Spain,Female,33,8,0,2,0,0,156792,0
6200,Munro,850,Germany,Female,31,3,51293,1,0,0,35534,0
6201,Chidi,612,France,Male,41,5,0,3,0,0,151256,0
6202,Chamberlain,690,Spain,Male,49,8,116622,1,0,1,51011,0
6203,Trujillo,599,Spain,Female,49,2,0,2,1,0,111190,0
6204,Tang,498,France,Male,33,1,198113,1,1,0,69664,0
6205,Wilson,497,France,Female,29,4,85646,1,0,0,63233,1
6206,Mann,802,Spain,Male,51,7,0,1,0,1,40855,0
6207,Parry,644,France,Male,33,9,141234,1,1,0,95673,0
6208,Manfrin,714,France,Male,34,10,0,2,1,1,80234,0
6209,Millar,690,France,Female,40,9,77641,1,0,0,189051,1
6210,Simmons,522,Spain,Male,30,3,0,2,1,0,145490,0
6211,Beneventi,502,Germany,Female,40,7,117304,1,0,0,196278,0
6212,Chung,730,Spain,Female,62,2,0,2,1,1,162889,0
6213,Maxwell,590,Germany,Male,36,6,92340,2,1,1,174667,0
6214,Dale,458,Germany,Male,35,9,146780,2,1,1,3476,0
6215,Stevens,553,Spain,Male,41,6,144974,1,1,1,19344,0
6216,Wei,479,France,Male,47,1,0,1,1,0,95270,0
6217,Chiu,693,France,Male,31,2,0,2,1,1,107759,0
6218,Duncan,707,Spain,Male,43,10,0,2,1,0,118368,0
6219,Brady,636,Spain,Male,37,1,115137,1,1,0,52484,0
6220,Macleod,807,France,Male,33,10,101952,2,1,0,178153,0
6221,Berkeley,513,France,Female,45,0,164649,3,1,0,49915,1
6222,Kaur,582,France,Male,31,2,0,2,1,1,33747,0
6223,Bell,694,France,Male,32,0,91956,1,1,1,59961,0
6224,Nwokike,777,France,Female,39,8,0,1,1,1,18613,0
6225,Williamson,598,Germany,Male,37,9,123938,2,1,0,198894,0
6226,Mountgarrett,762,Germany,Male,46,6,123571,3,0,1,57014,1
6227,Wreford,588,France,Female,34,3,120777,1,1,1,131729,0
6228,Paterson,663,Germany,Male,42,5,90248,1,1,1,79169,0
6229,Hou,777,France,Male,36,7,0,1,1,0,106472,0
6230,Smith,592,France,Male,71,4,0,2,0,1,17013,0
6231,Peng,631,Germany,Male,48,1,106396,1,1,1,150661,1
6232,Wollstonecraft,725,Germany,Female,47,1,104887,1,0,0,86622,1
6233,Bolton,850,France,Male,34,2,72079,1,1,1,115767,0
6234,Corrie,540,France,Male,37,6,0,2,1,0,141998,0
6235,Boyle,674,Spain,Male,36,2,0,2,1,1,182787,0
6236,Lambie,553,France,Male,38,3,99844,1,0,0,187915,0
6237,Cartwright,630,France,Female,28,1,0,2,1,1,133267,0
6238,Lu,466,France,Male,26,3,156815,1,1,1,137476,0
6239,Pisano,613,France,Male,47,6,146034,1,1,1,77146,0
6240,Chukwubuikem,558,France,Male,27,1,152283,1,1,0,183271,0
6241,Harper,775,Germany,Female,33,1,118897,2,1,1,26362,0
6242,Wilson,698,Germany,Male,52,8,96781,1,1,1,153373,0
6243,Ch'in,608,Germany,Male,33,1,102772,2,1,0,70705,0
6244,Streeton,670,Spain,Female,20,4,0,2,1,0,119759,0
6245,Ch'ang,591,Spain,Male,39,8,0,2,0,0,42392,0
6246,Pennington,633,France,Male,40,4,150578,1,0,1,34670,1
6247,T'ien,678,France,Female,46,1,0,2,0,0,82106,0
6248,Liu,590,France,Male,47,3,0,2,1,0,171774,0
6249,Cunningham,705,France,Female,48,0,0,1,0,0,149772,0
6250,Ch'in,608,France,Male,42,10,163548,1,1,0,38866,0
6251,Smith,682,France,Female,37,8,148580,1,1,0,35179,0
6252,Anderson,596,Germany,Male,32,3,96709,2,0,0,41788,0
6253,Forbes,395,Germany,Female,34,5,106011,1,1,1,17376,1
6254,Ansell,578,Germany,Male,37,1,135650,1,1,0,199428,0
6255,Chiu,547,Germany,Male,55,4,111362,3,1,0,16922,1
6256,Yevdokimova,609,France,Male,37,1,39344,1,1,1,178291,1
6257,Chamberlin,774,Germany,Male,36,9,130809,1,1,0,152290,0
6258,Johnston,712,France,Female,27,2,133009,1,1,0,126809,0
6259,McDonald,585,Germany,Female,28,9,135337,2,1,1,40385,0
6260,Chen,666,France,Female,32,10,112536,2,1,1,34350,0
6261,Cattaneo,708,Spain,Female,35,8,122570,1,0,0,199005,0
6262,Barclay-Harvey,513,France,Male,44,1,63562,2,0,1,52629,1
6263,Dawson,445,France,Male,37,3,0,2,1,1,180012,0
6264,Costa,690,Germany,Male,44,9,100368,2,0,0,35342,0
6265,Chikwado,850,France,Male,37,6,0,2,1,0,109291,0
6266,Ch'eng,537,Spain,Female,33,7,136082,1,1,0,62746,0
6267,Harrison,705,Germany,Male,48,9,114169,1,0,0,173273,1
6268,Crawford,670,France,Female,45,5,47884,1,1,1,54340,0
6269,Gibson,652,Spain,Female,36,1,0,2,1,1,19302,0
6270,Martin,696,Spain,Male,24,9,0,1,0,0,10883,0
6271,Stokes,747,France,Male,49,6,202904,1,1,1,17298,1
6272,Niu,511,France,Female,46,1,0,1,1,1,115779,1
6273,Ampt,743,Spain,Male,37,2,161807,2,0,1,93228,1
6274,Wynn,532,Germany,Male,52,3,110791,1,1,0,148704,1
6275,Lawrence,642,Spain,Female,33,9,0,2,1,1,150475,0
6276,Wagner,554,Germany,Female,54,6,108755,1,1,0,40914,1
6277,Argyle,604,Spain,Female,34,3,0,2,1,0,38587,0
6278,Ofodile,602,France,Female,72,3,0,2,1,1,171260,0
6279,Chiemenam,757,Spain,Female,55,9,117294,4,1,0,94187,1
6280,Akobundu,491,Germany,Male,26,4,102251,1,1,1,145900,0
6281,Locke,850,France,Male,31,4,0,2,0,0,152298,0
6282,Bullen,521,France,Male,22,5,0,2,1,1,99828,0
6283,Forster,726,France,Male,37,2,132057,2,1,0,34743,0
6284,Smith,596,France,Male,33,8,0,1,1,0,121189,1
6285,Craig,850,Germany,Female,35,7,114285,1,0,1,129660,0
6286,Archer,637,France,Female,41,9,0,2,1,0,145477,0
6287,McWilliams,690,Spain,Male,32,2,76087,1,0,1,151822,0
6288,Moss,689,France,Male,40,8,160272,1,1,0,49656,0
6289,Townsend,633,Spain,Male,63,4,114552,1,1,0,73856,1
6290,Brown,555,France,Female,27,8,102000,1,1,1,116757,0
6291,Munson,563,Spain,Male,24,7,0,2,0,0,16319,0
6292,T'ien,494,France,Female,33,1,137853,1,0,1,90273,0
6293,Shubin,534,France,Male,27,9,0,2,1,0,161344,0
6294,Isayeva,696,Germany,Male,42,7,162318,1,1,0,121061,0
6295,Hung,535,Spain,Female,50,1,140292,3,0,0,69531,1
6296,Webb,600,France,Male,34,0,0,2,0,1,3756,0
6297,Scott,807,France,Female,34,1,0,1,0,0,114448,0
6298,Rahman,714,France,Female,52,2,0,1,0,1,144045,1
6299,Lori,590,France,Male,24,7,126431,1,1,0,58781,0
6300,Cooke,614,France,Female,41,3,123475,1,1,1,179227,0
6301,Volkova,766,Germany,Female,45,6,97652,1,1,0,127332,0
6302,Lamb,557,Spain,Male,42,4,0,2,0,1,86642,0
6303,Hawes,788,Germany,Female,49,4,137455,1,1,0,184178,1
6304,Smith,648,France,Female,38,2,0,1,0,1,9551,0
6305,Swanton,726,Germany,Female,33,7,99046,2,1,1,56053,0
6306,Mitchell,773,France,Male,33,9,0,2,1,1,1118,0
6307,Colombo,583,Germany,Male,27,4,105907,2,1,1,195732,0
6308,Shaw,565,Germany,Male,52,5,97720,2,1,0,175070,1
6309,Shipp,705,France,Male,25,9,0,2,0,1,112331,0
6310,Jonathan,685,Spain,Male,43,4,97392,2,1,0,43956,0
6311,Hernandez,741,France,Male,29,8,0,2,1,1,115994,0
6312,Green,658,Germany,Female,28,9,152812,1,1,0,166682,0
6313,Young,575,France,Male,27,3,139301,1,1,0,99843,0
6314,Han,844,France,Female,41,10,76319,1,1,1,141175,1
6315,Highland,559,Spain,Male,67,9,125919,1,1,0,175910,1
6316,Hamilton,725,France,Male,37,6,124348,2,0,1,176984,0
6317,Yobanna,450,France,Male,29,7,117199,1,1,1,43480,0
6318,Crawford,738,Germany,Female,57,5,148384,1,0,0,155047,1
6319,Beavers,642,Germany,Female,19,3,113905,1,1,1,176137,0
6320,Williamson,618,Spain,Male,32,5,133476,1,0,1,154843,0
6321,Beneventi,590,France,Male,47,0,117879,1,1,1,8214,0
6322,Chidumaga,735,France,Male,50,2,0,2,0,1,147075,0
6323,Mitchell,550,France,Male,37,8,122359,1,0,0,116495,0
6324,Chibugo,729,Spain,Female,28,0,0,2,1,1,31165,1
6325,Hyde,743,Germany,Male,59,5,108585,1,1,1,192127,1
6326,Alekseeva,555,France,Male,31,8,145875,1,1,0,137491,0
6327,Abdulov,667,Spain,Female,36,3,121542,2,1,1,186841,0
6328,Buckley,790,Spain,Female,41,7,109508,1,0,0,86776,0
6329,Howard,727,Germany,Male,34,2,146407,1,1,1,72073,0
6330,Peel,744,France,Female,39,6,0,1,0,0,10662,0
6331,Herz,629,Germany,Male,35,8,112330,1,1,1,91001,0
6332,Holden,619,France,Female,35,4,90413,1,1,1,20555,0
6333,McLean,634,France,Male,34,8,105302,1,1,1,123164,0
6334,Findlay,608,Spain,Female,35,6,97245,2,1,1,143463,0
6335,Wyatt,507,France,Female,35,1,0,2,0,0,92131,0
6336,Rapuluolisa,536,Germany,Female,35,4,121520,1,0,0,77178,0
6337,Buckland,730,Spain,Female,43,1,103960,1,1,1,193650,0
6338,Hargreaves,583,Germany,Male,39,8,102945,1,0,0,52861,0
6339,Onyeoruru,644,France,Female,24,8,92760,1,1,0,35896,0
6340,Salas,790,Spain,Male,37,8,0,2,1,1,149418,0
6341,Laney,807,Germany,Female,40,1,134590,1,1,1,46253,0
6342,Fu,581,France,Female,37,10,104255,1,1,0,86609,0
6343,Tien,627,Spain,Female,55,6,0,1,0,0,91943,1
6344,Sazonova,850,France,Male,41,3,0,2,1,0,128892,0
6345,Tuan,754,France,Female,35,4,0,2,1,0,44830,0
6346,Wei,551,Germany,Male,50,1,121399,1,0,1,84508,1
6347,Bergamaschi,637,Germany,Male,35,8,147127,2,1,1,84760,0
6348,Taylor,699,Spain,Male,31,8,125927,2,1,0,147661,0
6349,Messersmith,542,France,Female,25,7,0,2,0,1,82393,0
6350,Coles,640,Germany,Male,48,1,111599,1,0,1,135995,0
6351,Brookes,553,France,Female,27,3,0,1,0,0,159800,0
6352,Reid,741,France,Male,38,9,97245,2,1,0,14379,0
6353,Etheridge,598,France,Male,35,8,97245,1,1,1,74322,0
6354,Jolly,660,Spain,Female,42,5,0,3,1,1,189016,1
6355,Chizoba,618,Spain,Male,41,4,115251,1,0,0,136435,0
6356,Eberegbulam,647,France,Male,43,9,0,2,1,1,78488,0
6357,Pagnotto,491,France,Female,68,3,107571,1,0,1,113695,0
6358,Lucchesi,652,France,Female,32,2,0,2,1,0,54628,0
6359,Hughes,650,Germany,Female,45,9,152367,3,1,0,150835,1
6360,Panicucci,413,Germany,Male,39,1,130969,2,1,1,158891,0
6361,Burns,416,Germany,Female,25,0,97738,2,1,1,160523,0
6362,Ricci,629,Spain,Male,34,8,0,2,1,1,180595,0
6363,Lambert,678,Spain,Female,40,4,113794,1,1,0,16618,0
6364,Esposito,527,Spain,Male,28,6,128396,2,1,0,79919,0
6365,Benson,743,Spain,Female,48,5,118207,2,0,0,186489,1
6366,Botts,683,Germany,Male,73,9,124730,1,1,1,51999,0
6367,Parkes,536,France,Female,41,9,0,1,1,0,121299,0
6368,Mai,663,Spain,Male,52,0,136298,1,1,0,144593,1
6369,Castiglione,646,France,Female,38,2,0,2,0,0,178752,0
6370,Manna,707,France,Male,35,2,0,3,1,1,94148,0
6371,Lin,602,France,Male,34,5,0,2,1,1,77414,0
6372,Fink,635,France,Female,47,2,125724,2,1,0,63236,0
6373,Baresi,597,France,Male,67,2,0,2,0,1,108645,0
6374,Morehead,503,France,Male,38,1,0,2,1,1,95153,0
6375,Afamefuna,524,Spain,Female,64,5,0,1,1,0,136079,1
6376,Greco,700,France,Male,46,5,95872,1,1,0,98273,1
6377,Balashova,692,France,Female,33,9,0,1,1,0,113505,1
6378,Bogdanov,562,France,Male,37,2,0,1,0,1,52525,1
6379,Lowe,679,France,Male,37,7,74260,1,1,0,194617,0
6380,Ponce,603,Germany,Male,35,1,123407,1,1,0,152541,1
6381,Trevisano,720,Spain,Male,33,3,123783,2,1,1,142903,0
6382,Gardner,797,France,Male,24,5,0,2,1,0,182257,0
6383,Lorenzo,594,France,Male,36,6,153880,1,0,0,135431,0
6384,Palmer,529,France,Female,37,7,0,2,1,1,175697,0
6385,Zuyeva,606,Germany,Female,32,1,106301,2,0,1,59061,0
6386,Jen,621,Spain,Female,40,7,0,2,0,1,131283,1
6387,Alekseeva,513,France,Female,43,9,0,2,1,0,152499,0
6388,Manfrin,753,Germany,Male,44,3,138076,1,1,0,15523,1
6389,Chiemenam,605,France,Female,30,9,135422,1,0,1,186418,0
6390,Chiemenam,574,Spain,Female,37,7,0,2,1,0,32262,0
6391,Clark,726,France,Female,38,5,126875,1,1,0,128052,0
6392,Fanucci,611,Spain,Female,28,3,96381,2,1,0,181419,0
